# image_path,real_answer,predicted_result
data/precipition/waterlogging/waterlogging_99.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_98.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_97.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_96.jpg,waterlogging,waterlogging
data/precipition/waterlogging/waterlogging_95.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_94.jpg,waterlogging,waterlogging
data/precipition/waterlogging/waterlogging_93.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_92.jpg,waterlogging,waterlogging
data/precipition/waterlogging/waterlogging_91.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_90.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_9.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_89.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_88.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_87.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_86.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_85.jpg,waterlogging,waterlogging
data/precipition/waterlogging/waterlogging_84.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_83.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_82.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_81.jpg,waterlogging,waterlogging
data/precipition/waterlogging/waterlogging_80.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_8.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_79.jpg,waterlogging,waterlogging
data/precipition/waterlogging/waterlogging_78.jpg,waterlogging,waterlogging
data/precipition/waterlogging/waterlogging_77.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_76.jpg,waterlogging,waterlogging
data/precipition/waterlogging/waterlogging_75.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_74.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_73.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_72.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_71.jpg,waterlogging,waterlogging
data/precipition/waterlogging/waterlogging_70.jpg,waterlogging,waterlogging
data/precipition/waterlogging/waterlogging_7.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_69.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_68.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_67.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_66.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_65.jpg,waterlogging,waterlogging
data/precipition/waterlogging/waterlogging_64.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_63.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_62.jpg,waterlogging,mudslide
data/precipition/waterlogging/waterlogging_61.jpg,waterlogging,waterlogging
data/precipition/waterlogging/waterlogging_60.jpg,waterlogging,waterlogging
data/precipition/waterlogging/waterlogging_6.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_59.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_58.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_57.jpg,waterlogging,waterlogging
data/precipition/waterlogging/waterlogging_56.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_55.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_54.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_53.jpg,waterlogging,waterlogging
data/precipition/waterlogging/waterlogging_52.jpg,waterlogging,waterlogging
data/precipition/waterlogging/waterlogging_51.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_50.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_5.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_49.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_48.jpg,waterlogging,waterlogging
data/precipition/waterlogging/waterlogging_471.jpg,waterlogging,waterlogging
data/precipition/waterlogging/waterlogging_470.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_47.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_469.jpg,waterlogging,waterlogging
data/precipition/waterlogging/waterlogging_468.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_467.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_466.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_465.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_464.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_463.jpg,waterlogging,flood
data/precipition/waterlogging/waterlogging_462.jpg,waterlogging,flood
